Dentro-afuera (inside-outside)
Entrada-salida (entry-exit)
Arriba-abajo (up-down)
Adentro-afuera (in-out)
Delante-detrás (in front-behind)
Izquierda-derecha (left-right)
Cerca-lejos (near-far)
Encima-debajo (on top-underneath)
Anterior-posterior (before-after)
Primero-ultimo (first-last)

Grande-pequeño (big-small)
Fuerte-débil (strong-weak)
Abierto-cerrado (open-closed)
Lleno-vacío (full-empty)
Caliente-frío (hot-cold)
Ligero-pesado (light-heavy)
Joven-viejo (young-old)
Bueno-malo (good-bad)
Nuevo-viejo (new-old)
Alto-bajo (tall-short)
Rápido-lento (fast-slow)
Cómodo-incómodo (comfortable-uncomfortable)
Seguro-inseguro (safe-unsafe)
Sucio-limpio (dirty-clean)
Tarde-temprano (late-early)
Simple-complicado (simple-complicated)
Público-privado (public-private)
Correcto-incorrecto (correct-incorrect)
Largo-corto (long-short)
Fácil-difícil (easy-difficult)
Rico-pobre (rich-poor)
